target_date,decision_rule,decision_rule_order,decision_offset_hours,target_midnight_hkt,decision_time_hkt,decision_time_utc,selected_run_init_utc,selected_cycle_utc,selection_tier,selected_candidate_rank,run_age_hours_at_decision,issued_before_decision,hourly_rows,unique_local_hours,nonmissing_temperature_rows,hours_00_to_23,complete_local_day,forecast_daily_max_c,forecast_daily_min_c,forecast_daily_mean_c,support_available,cache_path,raw_source_origin,selection_rule,unsupported_reason,hko_daily_max_c,hko_source_system,hko_source_period,hko_available,residual_usable,residual_c,forecast_error_c,absolute_error_c,squared_error_c,empirical_period,weather_history_training,market_development_period,external_validation_period,target_year,target_month,target_day,day_of_year,seasonal_sin,seasonal_cos,calendar_day_index,sample_status
2024-03-16,24h_prior,1,-24,2024-03-16T00:00:00+08:00,2024-03-15T00:00:00+08:00,2024-03-14T16:00:00+00:00,2024-03-14T00:00:00+00:00,0.0000000000,core,1.0000000000,16.0000000000,True,24,24,24,True,True,23.1000000000,19.2000000000,20.8375000000,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240314_00.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,,22.4000000000,HKO_CLMMAXT_OPEN_DATA,2024,True,True,-0.7000000000,0.7000000000,0.7000000000,0.4900000000,weather_history,True,False,False,2024,3,16,76,0.9608854256,0.2769462023,0,usable
2024-03-16,12h_prior,2,-12,2024-03-16T00:00:00+08:00,2024-03-15T12:00:00+08:00,2024-03-15T04:00:00+00:00,2024-03-14T12:00:00+00:00,12.0000000000,core,1.0000000000,16.0000000000,True,24,24,24,True,True,22.9000000000,19.4000000000,20.8541666667,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240314_12.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,,22.4000000000,HKO_CLMMAXT_OPEN_DATA,2024,True,True,-0.5000000000,0.5000000000,0.5000000000,0.2500000000,weather_history,True,False,False,2024,3,16,76,0.9608854256,0.2769462023,0,usable
2024-03-16,6h_prior,3,-6,2024-03-16T00:00:00+08:00,2024-03-15T18:00:00+08:00,2024-03-15T10:00:00+00:00,2024-03-15T00:00:00+00:00,0.0000000000,core,1.0000000000,10.0000000000,True,24,24,24,True,True,22.5000000000,19.3000000000,20.6625000000,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240315_00.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,,22.4000000000,HKO_CLMMAXT_OPEN_DATA,2024,True,True,-0.1000000000,0.1000000000,0.1000000000,0.0100000000,weather_history,True,False,False,2024,3,16,76,0.9608854256,0.2769462023,0,usable
2024-03-16,event_day_open,4,0,2024-03-16T00:00:00+08:00,2024-03-16T00:00:00+08:00,2024-03-15T16:00:00+00:00,2024-03-15T00:00:00+00:00,0.0000000000,core,1.0000000000,16.0000000000,True,24,24,24,True,True,22.5000000000,19.3000000000,20.6625000000,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240315_00.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,,22.4000000000,HKO_CLMMAXT_OPEN_DATA,2024,True,True,-0.1000000000,0.1000000000,0.1000000000,0.0100000000,weather_history,True,False,False,2024,3,16,76,0.9608854256,0.2769462023,0,usable
2024-03-17,24h_prior,1,-24,2024-03-17T00:00:00+08:00,2024-03-16T00:00:00+08:00,2024-03-15T16:00:00+00:00,2024-03-15T00:00:00+00:00,0.0000000000,core,1.0000000000,16.0000000000,True,24,24,24,True,True,25.0000000000,20.1000000000,21.8958333333,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240315_00.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,,26.8000000000,HKO_CLMMAXT_OPEN_DATA,2024,True,True,1.8000000000,-1.8000000000,1.8000000000,3.2400000000,weather_history,True,False,False,2024,3,17,77,0.9655071658,0.2603764827,1,usable
2024-03-17,12h_prior,2,-12,2024-03-17T00:00:00+08:00,2024-03-16T12:00:00+08:00,2024-03-16T04:00:00+00:00,2024-03-15T12:00:00+00:00,12.0000000000,core,1.0000000000,16.0000000000,True,24,24,24,True,True,24.9000000000,19.7000000000,21.5666666667,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240315_12.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,,26.8000000000,HKO_CLMMAXT_OPEN_DATA,2024,True,True,1.9000000000,-1.9000000000,1.9000000000,3.6100000000,weather_history,True,False,False,2024,3,17,77,0.9655071658,0.2603764827,1,usable
2024-03-17,6h_prior,3,-6,2024-03-17T00:00:00+08:00,2024-03-16T18:00:00+08:00,2024-03-16T10:00:00+00:00,2024-03-16T00:00:00+00:00,0.0000000000,core,1.0000000000,10.0000000000,True,24,24,24,True,True,24.9000000000,19.3000000000,21.3625000000,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240316_00.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,,26.8000000000,HKO_CLMMAXT_OPEN_DATA,2024,True,True,1.9000000000,-1.9000000000,1.9000000000,3.6100000000,weather_history,True,False,False,2024,3,17,77,0.9655071658,0.2603764827,1,usable
2024-03-17,event_day_open,4,0,2024-03-17T00:00:00+08:00,2024-03-17T00:00:00+08:00,2024-03-16T16:00:00+00:00,2024-03-16T00:00:00+00:00,0.0000000000,core,1.0000000000,16.0000000000,True,24,24,24,True,True,24.9000000000,19.3000000000,21.3625000000,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240316_00.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,,26.8000000000,HKO_CLMMAXT_OPEN_DATA,2024,True,True,1.9000000000,-1.9000000000,1.9000000000,3.6100000000,weather_history,True,False,False,2024,3,17,77,0.9655071658,0.2603764827,1,usable
2024-03-18,24h_prior,1,-24,2024-03-18T00:00:00+08:00,2024-03-17T00:00:00+08:00,2024-03-16T16:00:00+00:00,2024-03-16T00:00:00+00:00,0.0000000000,core,1.0000000000,16.0000000000,True,24,24,24,True,True,21.7000000000,19.5000000000,20.5041666667,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240316_00.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,,23.0000000000,HKO_CLMMAXT_OPEN_DATA,2024,True,True,1.3000000000,-1.3000000000,1.3000000000,1.6900000000,weather_history,True,False,False,2024,3,18,78,0.9698431970,0.2437297136,2,usable
2024-03-18,12h_prior,2,-12,2024-03-18T00:00:00+08:00,2024-03-17T12:00:00+08:00,2024-03-17T04:00:00+00:00,2024-03-16T12:00:00+00:00,12.0000000000,core,1.0000000000,16.0000000000,True,24,24,24,True,True,22.2000000000,19.2000000000,20.3291666667,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240316_12.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,,23.0000000000,HKO_CLMMAXT_OPEN_DATA,2024,True,True,0.8000000000,-0.8000000000,0.8000000000,0.6400000000,weather_history,True,False,False,2024,3,18,78,0.9698431970,0.2437297136,2,usable
