event_date,decision_rule,market_slug,market_price_staleness_hours
2026-05-23,24h_prior,highest-temperature-in-hong-kong-on-may-23-2026-32c,0.9966666666666668
2026-05-23,24h_prior,highest-temperature-in-hong-kong-on-may-23-2026-33corhigher,0.9972222222222222
2026-05-23,6h_prior,highest-temperature-in-hong-kong-on-may-23-2026-23corbelow,0.9980555555555556
2026-05-23,6h_prior,highest-temperature-in-hong-kong-on-may-23-2026-24c,0.9969444444444444
2026-05-23,6h_prior,highest-temperature-in-hong-kong-on-may-23-2026-25c,0.9963888888888888
2026-05-23,6h_prior,highest-temperature-in-hong-kong-on-may-23-2026-26c,0.9969444444444444
2026-05-23,6h_prior,highest-temperature-in-hong-kong-on-may-23-2026-27c,0.9975
2026-05-23,6h_prior,highest-temperature-in-hong-kong-on-may-23-2026-28c,0.9969444444444444
2026-05-23,6h_prior,highest-temperature-in-hong-kong-on-may-23-2026-29c,0.9963888888888888
2026-05-23,6h_prior,highest-temperature-in-hong-kong-on-may-23-2026-30c,0.9975
2026-05-23,6h_prior,highest-temperature-in-hong-kong-on-may-23-2026-31c,0.9975
2026-05-23,6h_prior,highest-temperature-in-hong-kong-on-may-23-2026-32c,0.9963888888888888
2026-05-23,6h_prior,highest-temperature-in-hong-kong-on-may-23-2026-33corhigher,0.9969444444444444
2026-05-23,event_day_open,highest-temperature-in-hong-kong-on-may-23-2026-23corbelow,0.9983333333333332
2026-05-23,event_day_open,highest-temperature-in-hong-kong-on-may-23-2026-24c,0.9972222222222222
2026-05-23,event_day_open,highest-temperature-in-hong-kong-on-may-23-2026-25c,0.9966666666666668
2026-05-23,event_day_open,highest-temperature-in-hong-kong-on-may-23-2026-26c,0.9972222222222222
2026-05-23,event_day_open,highest-temperature-in-hong-kong-on-may-23-2026-27c,0.9977777777777778
2026-05-23,event_day_open,highest-temperature-in-hong-kong-on-may-23-2026-28c,0.9972222222222222
2026-05-23,event_day_open,highest-temperature-in-hong-kong-on-may-23-2026-29c,0.9966666666666668
2026-05-23,event_day_open,highest-temperature-in-hong-kong-on-may-23-2026-30c,0.9977777777777778
2026-05-23,event_day_open,highest-temperature-in-hong-kong-on-may-23-2026-31c,0.9977777777777778
2026-05-23,event_day_open,highest-temperature-in-hong-kong-on-may-23-2026-32c,0.9966666666666668
2026-05-23,event_day_open,highest-temperature-in-hong-kong-on-may-23-2026-33corhigher,0.9972222222222222
2026-05-24,12h_prior,highest-temperature-in-hong-kong-on-may-24-2026-22corbelow,0.9983333333333332
2026-05-24,12h_prior,highest-temperature-in-hong-kong-on-may-24-2026-23c,0.9977777777777778
2026-05-24,12h_prior,highest-temperature-in-hong-kong-on-may-24-2026-24c,0.9966666666666668
2026-05-24,12h_prior,highest-temperature-in-hong-kong-on-may-24-2026-25c,0.9966666666666668
2026-05-24,12h_prior,highest-temperature-in-hong-kong-on-may-24-2026-26c,0.9977777777777778
2026-05-24,12h_prior,highest-temperature-in-hong-kong-on-may-24-2026-27c,0.9977777777777778
2026-05-24,12h_prior,highest-temperature-in-hong-kong-on-may-24-2026-28c,0.9983333333333332
2026-05-24,12h_prior,highest-temperature-in-hong-kong-on-may-24-2026-29c,0.9983333333333332
2026-05-24,12h_prior,highest-temperature-in-hong-kong-on-may-24-2026-30c,0.9977777777777778
2026-05-24,12h_prior,highest-temperature-in-hong-kong-on-may-24-2026-31c,0.9977777777777778
2026-05-24,12h_prior,highest-temperature-in-hong-kong-on-may-24-2026-32corhigher,0.9972222222222222
2026-05-24,24h_prior,highest-temperature-in-hong-kong-on-may-24-2026-22corbelow,0.9983333333333332
2026-05-24,24h_prior,highest-temperature-in-hong-kong-on-may-24-2026-23c,0.9977777777777778
2026-05-24,24h_prior,highest-temperature-in-hong-kong-on-may-24-2026-24c,0.9966666666666668
2026-05-24,24h_prior,highest-temperature-in-hong-kong-on-may-24-2026-25c,0.9966666666666668
2026-05-24,24h_prior,highest-temperature-in-hong-kong-on-may-24-2026-26c,0.9977777777777778
2026-05-24,24h_prior,highest-temperature-in-hong-kong-on-may-24-2026-27c,0.9977777777777778
2026-05-24,24h_prior,highest-temperature-in-hong-kong-on-may-24-2026-28c,0.9983333333333332
